onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
1235.0,1236.0,0,unpitched,1.0,0,343,1.0,cymbal
1238.0,1239.0,0,unpitched,1.0,0,344,1.0,cymbal
1241.0,1242.0,0,unpitched,1.0,0,345,1.0,cymbal
1244.0,1245.0,0,unpitched,1.0,0,346,1.0,cymbal
1247.0,1248.0,0,unpitched,1.0,0,347,1.0,cymbal
1250.0,1251.0,0,unpitched,1.0,0,348,1.0,cymbal
1253.0,1254.0,0,unpitched,1.0,0,349,1.0,cymbal
1256.0,1257.0,0,unpitched,1.0,0,350,1.0,cymbal
1259.0,1260.0,0,unpitched,1.0,0,351,1.0,cymbal
1262.0,1263.0,0,unpitched,1.0,0,352,1.0,cymbal
1265.0,1266.0,0,unpitched,1.0,0,353,1.0,cymbal
1268.0,1269.0,0,unpitched,1.0,0,354,1.0,cymbal
1271.0,1272.0,0,unpitched,1.0,0,355,1.0,cymbal
1274.0,1275.0,0,unpitched,1.0,0,356,1.0,cymbal
1277.0,1278.0,0,unpitched,1.0,0,357,1.0,cymbal
1280.0,1281.0,0,unpitched,1.0,0,358,1.0,cymbal
1283.0,1284.0,0,unpitched,1.0,0,359,1.0,cymbal
1286.0,1287.0,0,unpitched,1.0,0,360,1.0,cymbal
1289.0,1290.0,0,unpitched,1.0,0,361,1.0,cymbal
1292.0,1293.0,0,unpitched,1.0,0,362,1.0,cymbal
1295.0,1296.0,0,unpitched,1.0,0,363,1.0,cymbal
1298.0,1299.0,0,unpitched,1.0,0,364,1.0,cymbal
1301.0,1302.0,0,unpitched,1.0,0,365,1.0,cymbal
1304.0,1305.0,0,unpitched,1.0,0,366,1.0,cymbal
1307.0,1308.0,0,unpitched,1.0,0,367,1.0,cymbal
1310.0,1311.0,0,unpitched,1.0,0,368,1.0,cymbal
1313.0,1314.0,0,unpitched,1.0,0,369,1.0,cymbal
1316.0,1317.0,0,unpitched,1.0,0,370,1.0,cymbal
1319.0,1320.0,0,unpitched,1.0,0,371,1.0,cymbal
1322.0,1323.0,0,unpitched,1.0,0,372,1.0,cymbal
1325.0,1326.0,0,unpitched,1.0,0,373,1.0,cymbal
1328.0,1329.0,0,unpitched,1.0,0,374,1.0,cymbal
1331.0,1332.0,0,unpitched,1.0,0,375,1.0,cymbal
1334.0,1335.0,0,unpitched,1.0,0,376,1.0,cymbal
1337.0,1338.0,0,unpitched,1.0,0,377,1.0,cymbal
1340.0,1341.0,0,unpitched,1.0,0,378,1.0,cymbal
1343.0,1344.0,0,unpitched,1.0,0,379,1.0,cymbal
1346.0,1347.0,0,unpitched,1.0,0,380,1.0,cymbal
1349.0,1350.0,0,unpitched,1.0,0,381,1.0,cymbal
1352.0,1353.0,0,unpitched,1.0,0,382,1.0,cymbal
1355.0,1356.0,0,unpitched,1.0,0,383,1.0,cymbal
1358.0,1359.0,0,unpitched,1.0,0,384,1.0,cymbal
1361.0,1362.0,0,unpitched,1.0,0,385,1.0,cymbal
1364.0,1365.0,0,unpitched,1.0,0,386,1.0,cymbal
1367.0,1368.0,0,unpitched,1.0,0,387,1.0,cymbal
1370.0,1371.0,0,unpitched,1.0,0,388,1.0,cymbal
1373.0,1374.0,0,unpitched,1.0,0,389,1.0,cymbal
1376.0,1377.0,0,unpitched,1.0,0,390,1.0,cymbal
1379.0,1380.0,0,unpitched,1.0,0,391,1.0,cymbal
1382.0,1383.0,0,unpitched,1.0,0,392,1.0,cymbal
1385.0,1386.0,0,unpitched,1.0,0,393,1.0,cymbal
1388.0,1389.0,0,unpitched,1.0,0,394,1.0,cymbal
1391.0,1392.0,0,unpitched,1.0,0,395,1.0,cymbal
1394.0,1395.0,0,unpitched,1.0,0,396,1.0,cymbal
1397.0,1398.0,0,unpitched,1.0,0,397,1.0,cymbal
1400.0,1401.0,0,unpitched,1.0,0,398,1.0,cymbal
1403.0,1404.0,0,unpitched,1.0,0,399,1.0,cymbal
1406.0,1407.0,0,unpitched,1.0,0,400,1.0,cymbal
1409.0,1410.0,0,unpitched,1.0,0,401,1.0,cymbal
1412.0,1413.0,0,unpitched,1.0,0,402,1.0,cymbal
1415.0,1416.0,0,unpitched,1.0,0,403,1.0,cymbal
1418.0,1419.0,0,unpitched,1.0,0,404,1.0,cymbal
1421.0,1422.0,0,unpitched,1.0,0,405,1.0,cymbal
1424.0,1425.0,0,unpitched,1.0,0,406,1.0,cymbal
1427.0,1428.0,0,unpitched,1.0,0,407,1.0,cymbal
1430.0,1431.0,0,unpitched,1.0,0,408,1.0,cymbal
1433.0,1434.0,0,unpitched,1.0,0,409,1.0,cymbal
1436.0,1437.0,0,unpitched,1.0,0,410,1.0,cymbal
1439.0,1440.0,0,unpitched,1.0,0,411,1.0,cymbal
1442.0,1443.0,0,unpitched,1.0,0,412,1.0,cymbal
1445.0,1446.0,0,unpitched,1.0,0,413,1.0,cymbal
1448.0,1449.0,0,unpitched,1.0,0,414,1.0,cymbal
1451.0,1452.0,0,unpitched,1.0,0,415,1.0,cymbal
1454.0,1455.0,0,unpitched,1.0,0,416,1.0,cymbal
1457.0,1458.0,0,unpitched,1.0,0,417,1.0,cymbal
1460.0,1461.0,0,unpitched,1.0,0,418,1.0,cymbal
1463.0,1464.0,0,unpitched,1.0,0,419,1.0,cymbal
1466.0,1467.0,0,unpitched,1.0,0,420,1.0,cymbal
1469.0,1470.0,0,unpitched,1.0,0,421,1.0,cymbal
1470.5,1471.5,0,unpitched,1.0,0,421,2.0,cymbal
1472.0,1473.0,0,unpitched,1.0,0,422,1.0,cymbal
1473.5,1474.5,0,unpitched,1.0,0,422,2.0,cymbal
1475.0,1476.0,0,unpitched,1.0,0,423,1.0,cymbal
1478.0,1479.0,0,unpitched,1.0,0,424,1.0,cymbal
1481.0,1482.0,0,unpitched,1.0,0,425,1.0,cymbal
1484.0,1485.0,0,unpitched,1.0,0,426,1.0,cymbal
1487.0,1488.0,0,unpitched,1.0,0,427,1.0,cymbal
1490.0,1491.0,0,unpitched,1.0,0,428,1.0,cymbal
1493.0,1494.0,0,unpitched,1.0,0,429,1.0,cymbal
1496.0,1497.0,0,unpitched,1.0,0,430,1.0,cymbal
1499.0,1500.0,0,unpitched,1.0,0,431,1.0,cymbal
3356.0,3357.0,0,unpitched,1.0,0,851,1.0,cymbal
3357.0,3358.0,0,unpitched,1.0,0,851,1.5,cymbal
3358.0,3359.0,0,unpitched,1.0,0,851,2.0,cymbal
3360.0,3361.0,0,unpitched,1.0,0,852,1.0,cymbal
