onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
487.5,487.75,70,B-4,0.25,0,120,14/3,trumpet2
487.75,488.0,70,B-4,0.25,0,120,29/6,trumpet2
488.0,489.0,75,E-5,1.0,0,121,1.0,trumpet2
490.5,490.75,75,E-5,0.25,0,121,8/3,trumpet2
490.75,491.0,75,E-5,0.25,0,121,17/6,trumpet2
491.0,492.0,70,B-4,1.0,0,121,3.0,trumpet2
493.5,493.75,70,B-4,0.25,0,121,14/3,trumpet2
493.75,494.0,70,B-4,0.25,0,121,29/6,trumpet2
494.0,494.5,75,E-5,0.5,0,122,1.0,trumpet2
495.0,495.25,75,E-5,0.25,0,122,5/3,trumpet2
495.25,495.5,75,E-5,0.25,0,122,11/6,trumpet2
495.5,496.0,58,B-3,0.5,0,122,2.0,trumpet2
496.5,496.75,58,B-3,0.25,0,122,8/3,trumpet2
496.75,497.0,58,B-3,0.25,0,122,17/6,trumpet2
497.0,497.5,65,F4,0.5,0,122,3.0,trumpet2
498.0,498.25,65,F4,0.25,0,122,11/3,trumpet2
498.25,498.5,65,F4,0.25,0,122,23/6,trumpet2
498.5,499.0,65,F4,0.5,0,122,4.0,trumpet2
499.5,499.75,65,F4,0.25,0,122,14/3,trumpet2
499.75,500.0,65,F4,0.25,0,122,29/6,trumpet2
500.0,501.0,65,F4,1.0,0,123,1.0,trumpet2
547.5,547.75,70,B-4,0.25,0,130,14/3,trumpet2
547.75,548.0,70,B-4,0.25,0,130,29/6,trumpet2
548.0,549.0,75,E-5,1.0,0,131,1.0,trumpet2
550.5,550.75,75,E-5,0.25,0,131,8/3,trumpet2
550.75,551.0,75,E-5,0.25,0,131,17/6,trumpet2
551.0,552.0,70,B-4,1.0,0,131,3.0,trumpet2
553.5,553.75,70,B-4,0.25,0,131,14/3,trumpet2
553.75,554.0,70,B-4,0.25,0,131,29/6,trumpet2
554.0,554.5,75,E-5,0.5,0,132,1.0,trumpet2
555.0,555.25,75,E-5,0.25,0,132,5/3,trumpet2
555.25,555.5,75,E-5,0.25,0,132,11/6,trumpet2
555.5,556.0,58,B-3,0.5,0,132,2.0,trumpet2
556.5,556.75,58,B-3,0.25,0,132,8/3,trumpet2
556.75,557.0,58,B-3,0.25,0,132,17/6,trumpet2
557.0,557.5,65,F4,0.5,0,132,3.0,trumpet2
558.0,558.25,65,F4,0.25,0,132,11/3,trumpet2
558.25,558.5,65,F4,0.25,0,132,23/6,trumpet2
558.5,559.0,65,F4,0.5,0,132,4.0,trumpet2
559.5,559.75,65,F4,0.25,0,132,14/3,trumpet2
559.75,560.0,65,F4,0.25,0,132,29/6,trumpet2
560.0,561.0,65,F4,1.0,0,133,1.0,trumpet2
645.5,646.5,65,F4,1.0,0,147,2.0,trumpet2
657.5,658.5,58,B-3,1.0,0,149,2.0,trumpet2
659.0,660.0,58,B-3,1.0,0,149,3.0,trumpet2
660.5,661.5,53,F3,1.0,0,149,4.0,trumpet2
663.5,664.5,58,B-3,1.0,0,150,2.0,trumpet2
665.0,666.0,58,B-3,1.0,0,150,3.0,trumpet2
666.5,667.5,53,F3,1.0,0,150,4.0,trumpet2
667.5,668.0,65,F4,0.5,0,150,14/3,trumpet2
671.0,672.0,62,D4,1.0,0,151,3.0,trumpet2
692.0,693.0,70,B-4,1.0,0,155,1.0,trumpet2
695.0,696.0,65,F4,1.0,0,155,3.0,trumpet2
699.5,700.5,65,F4,1.0,0,156,2.0,trumpet2
701.0,702.0,62,D4,1.0,0,156,3.0,trumpet2
705.5,706.5,65,F4,1.0,0,157,2.0,trumpet2
707.0,707.5,58,B-3,0.5,0,157,3.0,trumpet2
707.5,708.0,58,B-3,0.5,0,157,10/3,trumpet2
708.0,708.5,58,B-3,0.5,0,157,11/3,trumpet2
708.5,709.5,58,B-3,1.0,0,157,4.0,trumpet2
